 13/12/2025 17:30:25,1,2,2, 13/12/2025 17:30:25.654,DATA,"70.000000,70.200000",127.0.0.1:43259,0.765,0,1,26,1.3225
 13/12/2025 17:30:26,1,fahrenheit,1, 13/12/2025 17:30:25.653,INIT,,127.0.0.1:43259,1.17,0,0,10,1.0621
 13/12/2025 17:30:26,1,fahrenheit,1, 13/12/2025 17:30:26.062,INIT,,127.0.0.1:43259,0.178,1,0,10,0.6374
 13/12/2025 17:30:26,1,2,2, 13/12/2025 17:30:26.654,DATA,"70.000000,70.200000",127.0.0.1:43259,0.763,0,0,26,0.1791
 13/12/2025 17:30:27,1,1,3, 13/12/2025 17:30:27.655,DATA,69.800000,127.0.0.1:43259,0.762,0,0,18,0.2167
 13/12/2025 17:30:28,1,3,4, 13/12/2025 17:30:28.655,DATA,"71.000000,71.100000,71.200000",127.0.0.1:43259,0.766,0,0,34,0.1866
 13/12/2025 17:30:29,1,4,5, 13/12/2025 17:30:29.656,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:43259,0.756,0,0,42,0.2764
 13/12/2025 17:30:30,1,1,6, 13/12/2025 17:30:30.656,DATA,72.000000,127.0.0.1:43259,0.755,0,0,18,0.1887
 13/12/2025 17:30:31,1,2,7, 13/12/2025 17:30:31.657,DATA,"70.000000,70.200000",127.0.0.1:43259,0.754,0,0,26,0.2091
 13/12/2025 17:30:32,1,1,8, 13/12/2025 17:30:32.657,DATA,69.800000,127.0.0.1:43259,0.756,0,0,18,0.2037
 13/12/2025 17:30:33,1,3,9, 13/12/2025 17:30:33.658,DATA,"71.000000,71.100000,71.200000",127.0.0.1:43259,0.754,0,0,34,0.1969
 13/12/2025 17:30:34,1,4,10, 13/12/2025 17:30:34.658,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:43259,0.757,0,0,42,0.2200
 13/12/2025 17:30:35,1,,0, 13/12/2025 17:30:35.654,HEARTBEAT,,127.0.0.1:43259,0.761,0,0,10,2.7515
 13/12/2025 17:30:35,1,1,11, 13/12/2025 17:30:35.658,DATA,72.000000,127.0.0.1:43259,0.776,0,0,18,0.1648
 13/12/2025 17:30:40,1,2,12, 13/12/2025 17:30:40.659,DATA,"70.000000,70.200000",127.0.0.1:43259,0.763,0,0,26,0.5113
 13/12/2025 17:30:45,1,,0, 13/12/2025 17:30:45.655,HEARTBEAT,,127.0.0.1:43259,0.751,0,0,10,1.3441
 13/12/2025 17:30:45,1,1,13, 13/12/2025 17:30:45.659,DATA,69.800000,127.0.0.1:43259,0.768,0,0,18,0.1375
